2025/09/28 11:58:35 logger.go:19: ERROR: could not open a new TTY: open /dev/tty: no such device or address
2025/10/03 10:02:08 logger.go:19: ERROR: exit status 1
2025/12/26 16:52:58 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 16:52:58 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 16:52:58 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 16:52:58 logger.go:37: WARN: Failed to get active window on Wayland: no suitable tool found (Hyprctl, Wlrctl)
2025/12/26 16:52:58 logger.go:37: WARN: Failed to get active window on Wayland: no suitable tool found (Hyprctl, Wlrctl)
2025/12/26 20:39:04 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 20:39:04 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 20:39:09 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 20:39:09 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 20:39:09 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 20:39:09 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 20:39:09 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 20:39:09 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 21:50:44 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:27:26 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:27:26 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:30:12 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:30:12 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:30:12 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:30:12 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:31:14 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:31:14 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:31:14 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:31:14 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:41 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:41 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:41 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:41 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:32:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:38:48 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:38:48 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:38:48 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:38:48 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:39:23 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:39:23 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:39:23 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:39:23 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:11 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:11 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:11 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:11 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:40:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:41:05 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:42:03 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:42:03 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:42:39 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:42:39 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:42:39 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:42:39 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:58:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:58:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:58:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/26 22:58:52 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/28 16:52:43 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/28 19:35:32 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/28 19:35:32 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/28 19:36:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/28 19:36:15 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/28 19:36:15 logger.go:29: INFO: CUSTOM THEME DISABLED
